epoch,loss,accuracy,precision,recall,f1_score
5,2.444062,11.505588,0.008850,0.076923,0.015874
10,2.295198,16.962525,0.062973,0.114218,0.063615
15,1.911481,34.714004,0.227844,0.256465,0.221463
20,1.454399,53.188692,0.488786,0.458415,0.457548
25,0.946465,71.926364,0.634489,0.603670,0.608455
30,0.990451,76.134122,0.676670,0.641954,0.645595
35,1.387835,70.151216,0.636564,0.598288,0.599533
40,1.242300,77.317554,0.679455,0.649012,0.651660
45,1.222710,78.369494,0.698574,0.670660,0.676138
50,1.436498,78.763971,0.689148,0.668848,0.669850
55,1.400996,79.552926,0.689121,0.683560,0.682494
60,1.557830,79.026956,0.683265,0.687443,0.680617
65,1.555754,80.144642,0.706682,0.692674,0.695158
70,1.751224,79.289941,0.681518,0.680748,0.675262
75,1.602284,80.736358,0.694071,0.701352,0.694570
80,1.934276,79.289941,0.689625,0.688653,0.683398
85,1.866316,80.539119,0.702708,0.692146,0.690538
90,2.107906,77.580539,0.688294,0.661028,0.664540
95,1.796148,81.065089,0.702292,0.699344,0.696976
100,2.013340,79.618672,0.688704,0.686632,0.683420
105,2.427405,78.500986,0.689312,0.682632,0.676216
110,2.109496,79.487179,0.705922,0.694832,0.696068
115,2.105326,80.210388,0.696206,0.687747,0.688133
120,2.178414,79.552926,0.695083,0.683157,0.683468
125,2.692964,76.397107,0.665269,0.662625,0.655075
130,2.289237,80.473373,0.705252,0.686304,0.691131
